Label,Generation,PR AUC,Lineage,Beats Baseline?,Baseline PR AUC,Dataset
Elastic_L70_C10 + SMOTETomek_G21,21,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G21,21,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G21,21,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G22,22,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G23,23,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G24,24,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G25,25,0.673,child of Elastic_L70_C10 + SMOTETomek_G7,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G26,26,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G27,27,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G28,28,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G29,29,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G30,30,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G31,31,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G32,32,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G33,33,0.673,child of Elastic_L70_C10 + SMOTETomek_G11,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G34,34,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G35,35,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G36,36,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G37,37,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G38,38,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G39,39,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G40,40,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G41,41,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G42,42,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G43,43,0.673,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G44,44,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G45,45,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G46,46,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G47,47,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G12,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G48,48,0.673,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTETomek_G49,49,0.673,child of Elastic_L70_C10 + SMOTETomek_G43,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
